source_table,object_id,host_id,disposition,period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg
KOI,K00626.02,4478168,CANDIDATE,8.0292018,3.462,65.6,0.99,6063.0,1.191,4.29
KOI,K07639.01,2854839,FALSE POSITIVE,1.05569286,1.289,37.5,0.45,4955.0,0.751,4.561
KOI,K00627.01,4563268,CONFIRMED,7.75192755,3.5413,407.3,1.89,5604.0,0.912,4.52
KOI,K00679.01,7515212,CONFIRMED,31.80475991,8.699,360.6,2.99,5867.0,1.356,4.235
KOI,K00679.02,7515212,CONFIRMED,16.2580276,6.375,47.0,0.92,5867.0,1.356,4.235
KOI,K07633.01,2449053,FALSE POSITIVE,0.73975345,4.2,481.8,2.09,5271.0,0.935,4.436
KOI,K04063.01,5900390,FALSE POSITIVE,0.624677585,2.411,37.3,1.28,9653.0,1.996,4.191
KOI,K04064.01,5444334,FALSE POSITIVE,0.759763198,3.083,202.5,1.2,5520.0,0.818,4.572
KOI,K04065.01,10139620,FALSE POSITIVE,372.37369,12.33,666.1,2.68,6109.0,1.029,4.455
KOI,K04066.01,8686373,CONFIRMED,126.55719,8.079,366.4,4.59,6501.0,1.854,4.054
KOI,K04135.01,5386264,FALSE POSITIVE,12.435190544,3.8305,71.9,0.52,4756.0,0.62,4.676
KOI,K02289.02,3867615,CONFIRMED,20.0983676,5.207,157.8,1.58,6053.0,1.26,4.279
KOI,K07646.01,3218844,FALSE POSITIVE,85.112898,2.503,513.8,2.21,6018.0,0.975,4.485
KOI,K04136.01,7256914,CANDIDATE,2.41750021,4.33,58.2,1.19,5575.0,1.308,4.189
KOI,K04136.02,7256914,CANDIDATE,4.03357434,5.886,66.2,1.23,5575.0,1.308,4.189
KOI,K02220.04,6871071,CANDIDATE,7.66462913,3.614,114.1,1.6,5640.0,1.515,4.087
KOI,K04067.01,5530112,CONFIRMED,9.6887216,2.0,655.5,3.09,6457.0,1.196,4.358
KOI,K04068.01,6226908,CONFIRMED,19.597317,4.508,1014.1,3.78,5569.0,1.019,4.368
KOI,K04069.01,5906694,CONFIRMED,13.06243545,3.244,464.3,1.36,4522.0,0.655,4.615
KOI,K04070.01,10186945,FALSE POSITIVE,0.793663156,0.8244,186.2,1.14,5077.0,0.825,4.533
KOI,K04138.01,4636565,FALSE POSITIVE,2.81401302,5.801,55.7,1.51,5541.0,1.967,3.869
KOI,K04139.01,9956082,CONFIRMED,3.74031708,2.394,165.6,1.38,6260.0,1.063,4.433
KOI,K07650.01,3241647,FALSE POSITIVE,0.851678507,2.028,67.9,0.85,5403.0,1.029,4.389
KOI,K04140.01,7761585,FALSE POSITIVE,205.30627,7.86,671.0,2.48,6045.0,0.955,4.494
KOI,K04142.01,9716302,FALSE POSITIVE,1.332566763,4.001,384.9,1.49,5134.0,0.752,4.599
KOI,K04071.01,2708286,FALSE POSITIVE,1.89131005,5.687,155.6,6.4,5706.0,1.12,4.255
KOI,K04072.01,6755944,CONFIRMED,0.692978457,1.1366,61.0,2.24,6105.0,2.304,3.805
KOI,K04075.01,7777471,FALSE POSITIVE,0.885131111,3.377,93.2,0.9,5904.0,0.867,4.543
KOI,K04143.01,10294509,FALSE POSITIVE,1.85447373,2.665,306.8,1.33,5341.0,0.743,4.609
KOI,K04144.01,3112129,CANDIDATE,0.487656278,1.0129,109.8,0.99,5957.0,0.937,4.506
KOI,K07642.01,3003019,FALSE POSITIVE,0.502622858,3.085,146.0,1.41,6029.0,1.098,4.385
KOI,K02298.02,9334893,CONFIRMED,31.8055128,3.979,141.7,0.63,4729.0,0.525,4.726
KOI,K04145.01,3103212,CANDIDATE,3.25424652,5.378,82.1,0.96,5692.0,1.004,4.421
KOI,K04146.01,10000941,CONFIRMED,3.50472344,1.9464,90.7,0.8,5115.0,0.854,4.477
KOI,K04076.01,9455677,CONFIRMED,124.827797,6.479,647.5,2.57,5349.0,1.032,4.353
KOI,K02220.05,6871071,CANDIDATE,11.9294568,3.193,132.3,1.05,5975.0,0.9,4.48
KOI,K04077.01,7690855,FALSE POSITIVE,0.786260569,4.556,877.1,15.72,4223.0,0.557,4.681
KOI,K04147.01,8029197,FALSE POSITIVE,2.15292788,3.043,41.4,1.02,5851.0,1.555,3.969
KOI,K04148.01,12257886,FALSE POSITIVE,2.61585431,6.519,169.8,1.28,6131.0,0.945,4.497
KOI,K04149.01,10875007,CANDIDATE,9.54699216,5.063,143.0,1.71,6274.0,1.232,4.357
KOI,K04149.02,10875007,CANDIDATE,14.708641,5.394,130.6,1.82,6274.0,1.232,4.357
KOI,K04150.01,11465651,CONFIRMED,31.3351094,6.071,264.9,1.99,6404.0,1.142,4.393
KOI,K04080.01,5036480,FALSE POSITIVE,1.061002863,1.962,142.4,1.06,5767.0,0.881,4.538
KOI,K04081.01,10275077,FALSE POSITIVE,363.35755,19.85,395.3,3.45,5086.0,1.783,3.89
KOI,K04082.01,6592832,FALSE POSITIVE,0.924821319,2.594,122.4,1.1,6135.0,0.974,4.455
KOI,K04083.01,8524346,FALSE POSITIVE,4.4697452,5.33,241.5,2.43,6102.0,1.125,4.316
KOI,K04084.01,3937814,CONFIRMED,214.881456,9.581,759.2,2.68,5323.0,0.995,4.378
KOI,K04154.02,5551228,FALSE POSITIVE,122.906853,15.97,819.7,3.55,5692.0,0.866,4.547
KOI,K04155.01,5471271,FALSE POSITIVE,12.422216754,6.5533,54.5,0.8,6231.0,1.084,4.424
KOI,K04156.01,5881120,CONFIRMED,4.85018974,5.676,64.5,1.1,6032.0,0.973,4.485
KOI,K07651.01,3248696,FALSE POSITIVE,383.43595,11.059,1228.0,2.53,5576.0,0.729,4.615
KOI,K04157.01,4548098,CONFIRMED,3.82315697,2.388,47.2,0.77,6202.0,1.122,4.422
KOI,K04158.01,5306383,FALSE POSITIVE,0.842336445,1.519,80.1,0.9,5765.0,0.998,4.415
KOI,K00255.02,7021681,CANDIDATE,13.6032081,2.592,180.5,0.75,3780.0,0.511,4.746
KOI,K04086.01,3836558,FALSE POSITIVE,1.54039744,1.787,127.6,1.08,5649.0,0.884,4.421
KOI,K02243.02,4770617,CONFIRMED,8.45805119,2.998,258.7,2.52,6172.0,1.471,4.198
KOI,K04087.01,6106282,CONFIRMED,101.1107014,8.029,878.1,1.61,4133.0,0.561,4.705
KOI,K04163.01,6463499,FALSE POSITIVE,94.446856,7.502,436.4,7.13,5780.0,2.478,3.729
KOI,K04164.01,8254882,FALSE POSITIVE,0.92565941,1.488,30.0,0.88,6058.0,1.612,4.135
KOI,K04166.01,4078311,CONFIRMED,9.84262076,1.6018,626.4,2.41,5585.0,0.972,4.49
KOI,K04167.01,5475735,FALSE POSITIVE,2.99194823,4.39,99.6,0.78,5269.0,0.727,4.62
KOI,K00435.05,11709124,CONFIRMED,62.3026877,7.509,859.3,3.05,5688.0,0.971,4.415
KOI,K02175.02,9022166,CONFIRMED,72.3826983,8.279,366.4,4.21,5508.0,1.988,3.897
KOI,K04019.01,10075409,FALSE POSITIVE,360.33012,15.16,1022.0,2.34,5054.0,0.74,4.606
KOI,K04020.01,7038096,FALSE POSITIVE,0.566803149,1.643,246.0,1.93,6147.0,1.096,4.435
KOI,K07652.01,3345973,FALSE POSITIVE,15.3466028,4.966,238.5,3.64,6771.0,2.259,3.934
KOI,K04021.01,11967788,CANDIDATE,7.23531329,3.338,112.2,1.53,6422.0,1.421,4.219
KOI,K04089.01,11972872,FALSE POSITIVE,0.531106622,3.0293,5133.6,7.54,4978.0,0.762,4.539
KOI,K04090.01,9899233,FALSE POSITIVE,1.332547503,4.521,130.3,1.23,6077.0,0.999,4.471
KOI,K04091.01,3103227,CONFIRMED,225.585245,11.166,754.9,3.71,5929.0,1.363,4.243
KOI,K04092.01,4850961,CONFIRMED,24.4972683,5.43,449.1,2.74,6392.0,1.162,4.399
KOI,K07643.01,3102309,FALSE POSITIVE,4.20253859,5.389,31.5,0.71,5596.0,1.015,4.343
KOI,K04151.01,5217574,FALSE POSITIVE,0.89486317,2.657,172.0,1.19,5764.0,0.863,4.548
KOI,K04152.01,7199060,CANDIDATE,64.1862264,8.485,507.3,8.0,6951.0,2.758,3.766
KOI,K04153.01,8439323,CONFIRMED,4.62602867,0.643,346.9,1.65,5834.0,0.797,4.566
KOI,K02303.02,4458082,CONFIRMED,8.93484887,2.579,135.9,1.83,6688.0,1.347,4.304
KOI,K07647.01,3230095,FALSE POSITIVE,7.04716175,2.693,150.8,1.1,5496.0,0.776,4.592
KOI,K04021.02,11967788,CANDIDATE,4.93211932,3.144,50.5,1.02,6422.0,1.421,4.219
KOI,K04022.01,7733731,CANDIDATE,4.85819429,5.356,76.3,2.04,6109.0,2.326,3.78
KOI,K04023.01,6862332,FALSE POSITIVE,119.0192648,8.1,1977.0,4.44,5754.0,0.905,4.534
KOI,K04024.01,10714072,CONFIRMED,8.40693068,1.866,167.1,1.95,5365.0,1.533,4.02
KOI,K07644.01,3110177,CANDIDATE,3.39904814,2.922,69.6,0.81,5766.0,0.929,4.444
KOI,K04025.01,10992011,FALSE POSITIVE,0.974479091,1.866,221.2,1.19,5043.0,0.819,4.502
KOI,K04095.01,6276994,FALSE POSITIVE,1.10601182,2.577,52.9,0.77,6241.0,1.031,4.45
KOI,K04096.01,9674564,FALSE POSITIVE,6.873655305,3.5415,181.3,1.21,5668.0,0.912,4.492
KOI,K02250.02,5942808,CONFIRMED,0.626281766,1.1812,433.1,1.76,4922.0,0.823,4.505
KOI,K07648.01,3232249,CANDIDATE,1.183505016,1.275,116.6,0.8,4832.0,0.746,4.592
KOI,K04097.01,5688683,CONFIRMED,2.790643481,0.6871,202.0,0.99,4353.0,0.603,4.681
KOI,K04159.01,6607644,CONFIRMED,0.971915957,1.6023,73.7,0.79,5196.0,0.889,4.458
KOI,K04160.01,7610663,CONFIRMED,3.03196812,1.723,81.5,0.9,5755.0,0.993,4.402
KOI,K04161.01,5565707,FALSE POSITIVE,1.2940561,0.97,51.2,5.27,6635.0,7.146,3.092
KOI,K04162.01,1293031,FALSE POSITIVE,0.53936593,5.434,145.0,9.19,6341.0,5.302,3.301
KOI,K07640.01,2859299,FALSE POSITIVE,0.643703667,0.801,172.0,1.48,6161.0,1.114,4.362
KOI,K02357.02,7449554,CANDIDATE,15.9042402,2.093,444.8,3.79,5583.0,1.53,4.077
KOI,K04027.01,8694309,FALSE POSITIVE,0.827351796,2.1885,44.7,0.9,5609.0,1.31,4.141
KOI,K02193.02,8282651,CANDIDATE,4.16288745,0.678,391.7,1.32,4478.0,0.651,4.615
KOI,K04028.01,7818447,FALSE POSITIVE,0.618952198,2.8244,8324.1,4.96,2661.0,0.116,5.283
KOI,K04097.02,5688683,CANDIDATE,4.44902309,1.373,88.9,0.55,4353.0,0.603,4.681
KOI,K04098.01,8222627,CANDIDATE,1.121733366,1.032,84.3,2.39,5023.0,2.571,3.682
KOI,K04099.01,8951205,CONFIRMED,4.95060632,1.719,309.5,1.28,5431.0,0.717,4.623
KOI,K04101.01,7026477,FALSE POSITIVE,366.31509,12.41,336.0,2.87,6705.0,1.524,4.16
KOI,K04168.01,9402583,FALSE POSITIVE,0.536544193,2.918,159.5,0.9,5041.0,0.728,4.597
KOI,K04169.01,7838675,CONFIRMED,1.005205893,1.63,97.5,0.85,5718.0,0.863,4.549
KOI,K04172.01,9640907,FALSE POSITIVE,1.089088292,1.8599,141.7,1.28,6194.0,1.069,4.445
KOI,K04031.01,3228986,FALSE POSITIVE,0.730949487,2.367,87.3,1.27,6238.0,1.191,4.365
KOI,K04032.01,7100673,CONFIRMED,3.95116635,2.566,60.9,0.83,5574.0,1.065,4.354
KOI,K04032.02,7100673,CONFIRMED,2.89223998,2.521,44.3,0.7,5574.0,1.065,4.354
KOI,K04102.01,2708278,FALSE POSITIVE,1.89124187,4.415,105.8,0.93,5285.0,0.927,4.474
KOI,K07641.01,2984990,CANDIDATE,3.79437277,2.289,83.2,1.36,5455.0,1.507,4.025
KOI,K04103.01,3747817,CONFIRMED,184.77271,9.568,951.4,2.41,5273.0,0.801,4.566
KOI,K04104.01,8483366,FALSE POSITIVE,392.49728,10.53,1062.0,2.82,5737.0,0.872,4.544
KOI,K04105.01,7758018,CANDIDATE,363.41165,14.79,961.7,3.14,6025.0,0.999,4.472
KOI,K02257.02,9071593,CONFIRMED,59.284064,5.42,424.4,1.81,5225.0,0.859,4.505
KOI,K04034.01,10089911,CONFIRMED,6.96704926,3.73,213.7,6.14,6303.0,3.53,3.595
KOI,K04036.01,11415243,CONFIRMED,168.81133,6.582,614.4,1.69,4798.0,0.707,4.62
KOI,K02194.02,3548044,CONFIRMED,67.968656,7.948,321.8,1.71,5670.0,0.95,4.387
KOI,K04037.01,8264402,CANDIDATE,215.956008,10.425,392.7,3.36,6163.0,1.313,4.27
KOI,K04038.01,7773179,FALSE POSITIVE,2.15681538,5.115,106.5,1.06,6084.0,0.983,4.45
KOI,K04106.01,11017094,FALSE POSITIVE,0.708563091,6.347,414.5,15.38,5271.0,0.648,4.669
KOI,K07645.01,3129238,CANDIDATE,2.00870696,4.87,53.5,0.55,5341.0,0.759,4.526
KOI,K04107.01,5956633,FALSE POSITIVE,366.24282,15.76,733.7,2.4,5713.0,0.893,4.541
KOI,K04108.01,9899065,FALSE POSITIVE,1.33256418,4.701,162.3,0.81,5157.0,0.62,4.641
KOI,K04109.01,7907808,CANDIDATE,0.655939788,1.318,73.0,1.48,4968.0,1.755,3.924
KOI,K04110.01,5471792,FALSE POSITIVE,12.4258833,24.83,93.6,2.19,5611.0,1.632,3.933
KOI,K04039.01,11145831,FALSE POSITIVE,1.387838134,2.252,136.8,1.24,6273.0,1.044,4.442
KOI,K04040.01,11444952,FALSE POSITIVE,0.678349364,3.092,486.0,19.06,5569.0,0.829,4.566
KOI,K04042.01,3444098,FALSE POSITIVE,0.72359699,1.326,495.6,6.73,8855.0,2.858,3.818
KOI,K04111.01,2708343,FALSE POSITIVE,1.8913182,4.374,202.3,0.9,4476.0,0.633,4.627
KOI,K07649.01,3235282,FALSE POSITIVE,494.165759,2.239,1440.0,4.5,6392.0,1.162,4.399
