period_days,duration_hours,depth_ppm,planet_radius_rearth,stellar_teff,stellar_radius_solar,stellar_logg,disposition
42.63427848,6.1998,1719.3,5.22,6035.0,1.257,4.22,2
87.6476068,8.871,1009.6,4.0,6035.0,1.257,4.22,2
9.61731426,3.8692,234.0,1.94,6035.0,1.257,4.22,1
9.467821474,2.4327,2237.0,2.13,3582.0,0.458,4.807,2
0.893040969,1.0981,741.7,1.24,3582.0,0.458,4.807,2
4.942783419,3.25346,11145.0,10.62,5514.0,0.978,4.459,2
20.83426731,4.0454,988.4,2.74,5537.0,0.88,4.549,2
9.94602357,3.3862,994.5,3.12,5344.0,1.013,4.365,2
1.04562195,1.8955,213.0,1.45,5344.0,1.013,4.365,2
5.71462396,2.336,297.8,1.78,5344.0,1.013,4.365,2
8.14515981,5.073,446.8,3.43,5896.0,1.24,4.197,2
4.24439049,3.282,174.0,2.07,5896.0,1.24,4.197,2
90.1240507,11.649,3020.3,7.12,6520.0,1.215,4.375,1
28.5742692,4.9427,824.9,2.32,5551.0,0.812,4.508,2
856.672115,23.144,858.1,3.87,6449.0,1.309,4.232,1
0.689210173,1.6169,195.0,1.32,5630.0,0.954,4.505,1
7.34373964,1.1784,574.4,1.84,5757.0,0.762,4.597,2
4.6484156,38.1939,128.4,5.06,6980.0,3.482,3.577,0
17.512014768,1.8248,4511.7,13.66,6224.0,1.132,4.33,0
224.7789355,11.1899,3487.5,7.67,5873.0,1.235,4.293,2
0.890110752,0.8774,321.5,1.25,4768.0,0.711,4.628,0
5.76573396,2.924,248.0,7.47,5772.0,4.434,3.364,0
7.42608123,3.6379,443.3,2.47,6049.0,1.176,4.353,2
15.9868932,4.158,178.5,1.62,6049.0,1.176,4.353,2
0.73094589,4.32,250.2,17.12,5901.0,0.848,4.553,0
18.92537246,3.9835,640.9,13.92,4941.0,4.885,3.317,2
0.933749106,4.256,186.2,3.22,6215.0,2.188,3.849,0
2.037440623,3.442,118.6,1.19,6253.0,1.015,4.415,0
